678,832
663,824
639,805
631,789
624,789
630,792
630,786
633,785
634,782
631,783
635,785
635,788
633,793
630,793
624,787
621,786
613,795
569,760
551,732
454,606
442,605
444,598
446,595
443,594
441,592
444,591
447,595
442,597
440,589
498,593
556,602
1071,887
1079,878
1082,877
1083,880
1081,874
1090,877
1095,884
1092,882
1089,875
1081,873
1075,876
1073,877
1118,830
1207,720
1266,629
1292,545
1291,535
1289,536
1290,536
1290,534
1293,531
1290,532
1293,529
1297,530
1296,529
1297,531
1294,534
1277,510
1269,496
1267,496
1268,500
1270,501
1269,500
1273,499
1272,493
1273,498
1268,502
1266,500
1268,503
1266,504
1268,503
1274,503
1269,505
1267,503
1267,502
1266,507
1257,514
1213,530
1175,543
1161,556
1162,562
1162,561
1166,557
1169,553
1168,553
1168,553
1172,551
1171,548
1170,550
1173,530
1187,472
1222,387
1243,345
1250,334
1252,330
1252,330
1250,336
1250,335
1254,335
1252,335
1246,335
1246,333
1248,328
1248,329
1248,331
1251,333
1253,335
1238,334
1217,346
933,322
933,322
537,407
521,402
520,401
527,397
526,401
522,404
522,400
523,399
526,402
525,401
524,400
524,399
523,397
524,395
526,394
525,396
525,397
524,403
527,401
531,394
530,392
527,395
526,396
524,396
524,397
522,401
521,403
521,404
522,405
521,404
516,405
496,407
468,410
466,408
468,408
468,407
469,407
469,410
471,410
472,407
468,408
469,406
469,405
472,407
466,400
873,481
873,481
1226,665
1235,662
1241,667
1239,673
1240,674
1241,668
1239,666
1238,666
1237,668
1231,670
1231,670
1231,667
1228,665
1230,665
1228,660
1216,648
1197,628
1190,624
1193,625
1198,625
1198,624
1197,628
1193,632
1191,632
1193,633
1195,632
1198,630
1199,628
1193,631
1184,633
1188,632
1196,633
1195,634
1194,630
1191,628
1186,629
1187,628
1189,628
1188,632
1191,635
1191,638
1186,639
1185,637
1190,635
1195,626
1195,627
1194,627
1188,626
1183,631
1190,636
1195,635
1190,636
1187,636
1188,628
1189,630
1185,627
1188,630
1194,635
1189,634
1186,633
1190,632
1187,628
1189,631
1191,637
1190,634
1189,634
1182,650
1179,675
1177,683
1177,678
1177,679
1179,678
1183,678
1187,679
1186,683
1182,683
1180,682
1180,678
1180,672
1181,670
1181,669
1181,672
1180,670
1172,672
1171,674
1172,675
1168,675
1174,671
1179,671
1180,672
1181,672
1178,673
1177,673
1170,680
1172,681
1183,679
1183,680
1181,676
1178,676
1180,682
1180,682
1183,672
1203,662
1214,648
1217,644
1216,645
1213,645
1211,647
1213,649
1213,646
1213,646
1215,646
1217,645
1219,649
1218,649
1219,647
1219,647
1215,650
1215,648
1216,645
1213,644
1212,643
1212,647
1206,649
1206,643
1205,640
1203,640
1205,641
1206,642
1208,643
1207,645
1207,647
1207,646
1206,645
